age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AE	1		THAT		859.4	1886	3068.3	85	117.3	202.7	231.558	231.508	231.658	0.15	3	1	4	1	3	0										820.9	1864.4	863.5	1885.7	874.3	1877.1	870.9	1861.6	863.8	1805.3	4	850	1882	3088	3.1413	1	that	231.5523
												AE	1		FAMILY		682.9	2364	2877.4	86.5	210.2	693.6	236.554	236.521	236.621	0.1	3	4	1	2	1	1										627.8	2278.9	687.6	2369.7	722.8	2388.9	777.9	2342.3	809	2173.5	5	766	2414	3085	3.41212	1	family	236.5794
												AH	1		MONTH		871.8	1360.9	1714.1	129.7	149.7	1372	239.371	239.351	239.412	0.061	6	4	4	2	2	3										862.5	1330.6	873.2	1365.1	882.3	1407.2	866.6	1423.8	816.9	1425.4	6	911	1414	3323	6.44223	1	month	239.3771
												AH	1		STUFF		761.4	1679.2	3157.2	96.7	197.6	174.5	250.9	250.88	250.94	0.06	6	3	2	1	3	0										742.6	1688.7	763.1	1678.2	771.5	1653.8	735	1643.6	702.3	1667.1	4	747	1657	3127	6.3213	1	stuff	250.897
												AE	1		THAT		814.9	2033.6	3148.5	97.2	200.5	166.4	251.223	251.18	251.31	0.13	3	1	4	1	3	0										788.2	2027.4	818.3	2033.5	835.7	2019.6	842.4	2009.1	845.8	2045.1	4	807	2016	3145	3.1413	1	that	251.2232
												AH	1		UP		889.9	1568	3099	177.8	159.8	316.5	251.911	251.888	251.958	0.07	6	1	1	1	0	0										976.8	1567.9	875.9	1576.2	852.2	1592.9	822.5	1551.4	813.1	1509.1	5	837	1599	3068	6.111	1	up	251.9184
												AO	1		NORTH		776.9	1367.6	2014.5	122.8	171.1	2373.9	252.108	252.088	252.148	0.06	64	6	4	2	4	3										758.6	1414.2	778.8	1363.1	788.3	1325	791.6	1303.5	790.8	1302.6	6	806	1314	2314	54.6004	1	north	252.1321
												AY	1		TYPE		709.6	1958	2895.7	238.3	211	557.8	256.805	256.797	256.916	0.119	47	1	1	1	3	0		s								689.5	1915.7	676	2009.6	646.8	2116	620.6	2206.6	598.1	2168.3	5	685	2014	2991	47.1113	1	type	256.84
												ER	1		PERSON		605.9	1755.2	2080	110.9	209.7	183.3	257.037	257.007	257.097	0.09	94	3	4	1	1	1										601.2	1725.4	606.3	1758.7	612.8	1827	615.8	1892.5	607.5	1909.8	5	628	1873	2122	94.60011	1	person	257.0438
												OW	1		GOES		612.5	1282.5	2587.7	90.4	224.3	164.7	261.664	261.641	261.731	0.09	62	3	4	2	6	0										605.4	1285.3	624.7	1297.1	640.3	1337.4	648.1	1379.9	638.4	1470.9	5	647	1336	2752	62.0026	1	goes	261.672
												EH	1		FRIENDS		850.7	1834	2441.6	59.6	158.9	320.9	262.461	262.441	262.502	0.061	2	4	4	2	8	3										845.2	1803.8	851	1837.8	849	1863	841.8	1877.6	832.7	1881.8	5	853	1913	2879	2.44283	1	friends	262.4811
												OW	1		SNOWBOARD		727.2	1605.9	2141.9	108.5	218.7	1674.3	263.205	263.192	263.342	0.15	62	1	1	2	4	1										740.6	1417.7	710.3	1210.2	658.5	1096.6	631.1	1052.6	602.9	966.3	6	791	1337	2831	62.11201	1	snowboard	263.2346
												AO	2		SNOWBOARD		606.2	912.2	2406.5	117.4	122.1	265.6	263.452	263.402	263.552	0.15	64	6	4	2	1	3										569.7	839.9	608.4	922.1	606.7	1000.5	607.6	1034.4	612.8	1133	6	617	897	2455	64.6001	1	(snow)board	263.4483
												AH	1		STUFF		698.7	1597.2	2941.3	127.2	290.2	257.5	263.965	263.942	264.012	0.07	6	3	2	1	3	0										692.6	1507.5	700	1606.2	722.6	1654.4	755.4	1649	778.9	1616.6	5	765	1657	3041	6.3213	1	stuff	263.9896
												AE	1		THAT		821	1858.6	3008.6	68.9	125.1	176.2	264.295	264.262	264.362	0.1	3	1	4	1	3	0										790.5	1880.1	823.9	1855.5	840.3	1843.2	849.4	1832	854	1828.1	4	845	1826	3000	3.1413	1	that	264.3229
												AH	1		PUBLIC		857	1394.9	2919.1	96.9	149.8	312.7	272.637	272.617	272.677	0.06	6	1	1	2	1	1										890.6	1445.6	852.6	1391.1	811.8	1359.8	765.3	1295.7	739.9	1305.8	5	841	1403	2936	6.11214	1	public	272.642
												UW	1		POOL		489.3	883.1	2337	82.4	365.6	1372.1	273.89	273.827	274.017	0.19	72	5	4	2	1	0										487.3	911.9	489.3	888.7	494.5	886.7	548.7	886.2	639.5	944.4	6	502	913	2486	72.5421	1	pool	273.8828
												AA	1		PARKS		888.9	1418.1	2481.3	63.6	117.8	137.4	275.247	275.224	275.294	0.07	44	6	4	2	1	3										892.3	1401.8	888.7	1420.2	883.9	1449.3	877.3	1474	868.1	1492.5	5	883	1449	2429	44.60013	1	parks	275.2603
												AE	1		BASKETBALL		651.4	2374.4	2895.7	94.7	144.8	218.3	277.053	277.016	277.126	0.11	3	3	4	1	1	5										631.1	2333.9	653	2373.9	708.7	2330.7	769.2	2237.8	777.8	2078.3	5	660	2367	2916	3.34212	1	basketball	277.0594
												AO	2		BASKETBALL		858.5	1233.3	2193.1	125	205.2	2315.4	277.429	277.366	277.556	0.19	53	5	4	2	1	0										824.3	1235	859.8	1228.2	858.6	1202.3	832.4	1191.2	806.8	1191.9	6	910	1269	3076	53.5421	1	(basket)ball	277.4554
												EY	1		GAMES		759.8	2690.4	3208.2	203	282.3	502.7	278.05	277.966	278.306	0.34	21	4	1	2	6	3										713.8	2652.7	708.6	2770	679.7	2838.6	626.5	2648.6	612.1	2821.1	4	717	2655	3105	21.4126	1	games	278.0381
												AW	1		OUTSIDE		996.3	1679	2181.9	90.2	104.2	1966.5	279.718	279.709	279.829	0.12	42	1	4	1	0	4										991.1	1632.3	929.7	1528.4	869.4	1494.9	831.7	1474.4	740.7	1459.7	6	1058	1707	2880	42.14104	1	outside	279.7318
												AY	1		OUTSIDE		820.8	1977.9	3033.6	102.7	229.4	133.7	279.971	279.939	280.039	0.1	41	1	4	2	3	0		s								794.9	1865.5	818.3	2011.3	767.1	2090	664.7	2113.4	591.4	2059.6	4	813	2010	3020	41.1423	1	(out)side	279.9768
												IY	1		PEOPLE		527.7	2644.5	4190	117.1	178	1339.1	280.548	280.528	280.589	0.061	11	1	1	1	1	1										520.5	2680.4	528	2638.5	507	2575.1					3	514	2632	3058	11.11111	1	people	280.538
												OW	1		DON'T		743.7	1235.7	2689.6	89.8	205.8	194.3	280.951	280.909	281.169	0.26	62	4	4	2	3	0										779.6	1206.6	817.3	1145	810.6	1169.8	847.3	1172.5	831.1	1232.5	5	830	1187	2766	62.44233	1	don't	280.9853
												AA	1		NOT		859.5	1643.3	1871.7	84.1	291.8	543.1	282.329	282.292	282.402	0.11	5	1	4	1	4	0										837.9	1575.2	861.1	1638.2	903.1	1612	918.5	1609.1	874.1	1624.8	6	1009	1703	3224	5.1414	1	not	282.3571
												EH	1		VERY		621.4	1941.9	2438.6	59.3	181.8	239.7	282.521	282.481	282.601	0.12	2	6	4	2	1	1										619.1	1949.9	621.5	1939.6	621.6	1921.9	616.9	1907.8	618.8	1884.1	5	631	2017	2582	2.60011	1	very	282.5096
												AA	1		ECONOMY		971.4	1768.8	2894.7	140.4	117.5	423.3	284.186	284.133	284.293	0.16	5	4	4	2	6	2										933.9	1789	970.9	1765.5	966.1	1738.6	857.2	1685.8	772.6	1703.3	5	961	1745	2920	5.44202	1	(e)conomy	284.2033
												AY	1		HIGH		983.2	1853.9	2773.5	167.5	157.6	265.8	285.493	285.487	285.607	0.12	41	0	0	0	0	0										930.8	1991.4	861.3	2145.7	805.2	2265.2	777.7	2375.7	717.1	2486.3	5	970	1899	2783	41.	1	high	285.501
												AA	1		ECONOMY		950.6	1864.6	2886.7	144.4	159.3	237.5	285.74	285.707	285.807	0.1	5	4	4	2	6	2										917.5	1924.9	955	1857.8	974.5	1824.1	972.3	1809	944.7	1776.1	5	987	1824	3006	5.44202	1	(e)conomy	285.7631
												IY	1		FREE		466.8	2531	2920	231.6	121.2	555	286.606	286.566	286.687	0.121	12	0	0	0	8	0														824.7	2960.9	1172.9	3127.1	2035.1	3389.2	4	462	2427	2635	12.0008	1	free	286.5922
												AW	1		OUTDOOR		921.9	1735.4	2904.6	63.5	84	330.1	287.112	287.097	287.227	0.13	42	1	4	1	0	4										954.9	1693.7	928.1	1601.8	848.6	1475.9	762.8	1356.4	626.9	1324.3	5	976	1699	2922	42.14104	1	outdoor	287.1264
												AO	2		OUTDOOR		609.6	1269.8	2375.7	73.9	211.7	162.2	287.32	287.296	287.367	0.071	64	6	4	2	3	0										605.8	1403.4	610	1260.9	612.5	1210	617	1229.3	628.1	1321.9	5	667	1295	2453	64.6003	1	(out)door	287.3457
												EY	1		PLAY		795.2	1745.1	3075.3	103	255	469.8	288.336	288.317	288.617	0.3	22	0	0	0	8	0										758.5	2029.1	697.4	2190.6	623.8	2362.5	591.1	2485	596.5	2410.2	5	796	1990	3108	22.0008	1	play	288.3596
												EH	1		FRIENDS		882.9	1830.6	2428.2	129.9	258.1	334.2	289.429	289.412	289.462	0.05	2	4	4	2	8	3										872.3	1802.6	882.9	1830.6	893.4	1868.1	894.3	1899.5	886	1918.5	5	885	1913	2676	2.44283	1	friends	289.4469
												AY	1		TYPE		787.8	1729.5	3033.8	462.7	566.2	423.2	289.649	289.652	289.721	0.069	47	1	1	1	3	0										684.3	1901.1	649.1	1992	613.9	2068.9	613.1	2068.5	626.1	1876.2	5	679	1985	3048	47.1113	1	type	289.6719
												AY	1		I		966.8	1712.3	2108	84.3	126.6	1239.2	298.437	298.408	298.538	0.13	41	0	0	0	0	0										966.6	1701.3	957.1	1784.3	907.4	1865.1	840.4	2026.7	695.5	1955.7	6	1005	1743	2659	41.0006	1	I	298.4383
												ER	1		PERSONALLY		616	1512.3	1837.7	145.1	228.8	421.9	298.618	298.588	298.678	0.09	94	3	4	1	1	5										609.7	1467.5	616.7	1517.6	619.3	1634.3	605.9	1736	570.7	1827.4	5	634	1771	2031	94.60012	1	personally	298.6406
												OW	1		SO		661.6	1509.9	1875.6	78.2	223.2	1371.8	299.177	299.158	299.267	0.109	63	0	0	0	3	0										674.7	1496.3	703.5	1418.4	677.7	1282.3	626.4	1180.1	578.5	1095.5	6	733	1479	2823	62.0003	1	so	299.1976
												IY	1		STREET		520.1	2322.9	2693.1	145.2	213.5	249	300.542	300.522	300.582	0.06	11	1	4	1	8	0										518.2	2271.2	520.7	2327.9	527.4	2360.9	532.7	2367.7	538.1	2361.2	5	530	2377	2729	11.1418	1	street	300.5409
												AA	1		BARS		831.6	1372.3	1550.5	76	125.4	1893.7	300.992	300.942	301.092	0.15	44	6	4	2	1	3										754.4	1255.5	835.5	1381.3	847.8	1414.5	846.1	1436.2	834.2	1516.7	6	865	1422	2664	44.6001	1	bars	301.0053
												AW	1		ABOUT		805.6	1516.2	1972.9	78.8	185.9	1386.9	302.434	302.404	302.534	0.13	42	1	4	1	1	0										795.8	1523.5	832.2	1497.3	835.5	1483.5	818	1457.6	792.9	1399.4	6	889	1563	2805	42.1411	1	(a)bout	302.4568
												OW	1		OLDER		637.7	994.9	2651.5	100.4	125.5	887	303.907	303.9	303.99	0.09	62	5	4	2	0	4										631.2	998.7	607.1	983.3	596.3	976.3	590.7	974.3	584.1	973.9	6	619	1051	2785	62.54204	1	older	303.9312
												IH	1		KIDS		712.7	2269.6	3023.5	152.7	167.6	305.9	306.34	306.307	306.407	0.1	1	1	4	2	6	3										695	2338.1	712.2	2264.9	711.1	2265.1	679.8	2213	609.9	2124.1	4	719	2279	3074	1.1426	1	kids	306.3543
												OW	1		NO		886.5	1555.2	1962.8	103.4	170.7	826.4	306.588	306.567	306.747	0.18	63	0	0	0	4	0										922.8	1479.8	899.5	1406.7	853.5	1308.9	826	1195.4	799.1	1050.7	6	997	1530	2981	62.0004	1	no	306.6064
												IH	1		DIFFERENT		655.9	2145.5	2927.7	119.8	234.2	1104.2	312.389	312.372	312.422	0.05	1	3	2	1	3	1										694.1	2190.4	655.9	2145.5	619.1	2076.5	630.9	2037.3	637.3	2017.5	5	638	2006	2822	1.32132	1	different	312.4112
												EY	1		SAY		711	1882.3	2822.6	86.3	159.7	141.6	313.3	313.261	313.462	0.201	22	0	0	0	3	0										710.9	1886	703.8	2011.1	673.2	2124.4	631	2257.4	618.4	2388.9	4	710	1877	2801	22.0003	1	say	313.3044
												AA	1		PROCTOR		889.5	1622.5	2491.6	82.9	214.3	193.4	320.229	320.212	320.262	0.05	5	1	6	1	8	4										885.8	1611.1	889.5	1622.5	887.1	1660.2	871.6	1719	847.2	1782.7	5	889	1605	2505	5.16184	1	Proctor	320.2261
												UH	1		FOOTBALL		661.4	1332.6	2645.2	106.1	149.3	107.7	320.521	320.501	320.562	0.061	7	1	4	1	1	4										682.8	1381.7	657.2	1325.7	613.3	1261.5	565	1274.6	537.8	1516.6	5	695	1418	2623	7.14114	1	football	320.5081
												AO	2		FOOTBALL		854.1	1247.7	1789.1	93.1	214.3	1469.4	320.771	320.651	321.012	0.361	53	5	4	2	1	0										843.6	1259.5	854.5	1249.4	847.6	1259.5	849.7	1277.1	807.5	1262.1	6	877	1309	2795	53.5421	1	(foot)ball	320.793
												AE	1		BASKETBALL		651.1	2220.9	2945.9	59.9	144.9	215.3	321.215	321.172	321.302	0.13	3	3	4	1	1	5										651.8	2156.2	653.1	2220	709.6	2150.9	757.2	2044.8	772.1	1964.8	4	657	2212	2934	3.34212	1	basketball	321.2232
												AO	2		BASKETBALL		808.8	1440.8	2709	84.8	131.8	151.4	321.572	321.532	321.652	0.12	53	5	4	2	1	0										782.3	1386	811	1444.8	825.1	1457.9	829.3	1431.4	824.6	1392.4	5	861	1501	2855	53.5421	1	(basket)ball	321.5979
												AE	1		BASKETBALL		714.1	2109.8	2952.3	96.6	138	231.5	321.799	321.752	321.892	0.14	3	3	4	1	1	5										709	2012.3	716	2109	741.7	2097	770.4	2022.3	774.7	1929.3	4	726	2076	2870	3.34212	1	basketball	321.8172
												AA	1		POPULAR		936.8	1544.7	2626.1	49	280.3	355.1	323.202	323.162	323.282	0.12	5	1	1	1	1	2										931.6	1542.1	936.3	1547.3	923.8	1560.9	888.2	1579	778.6	1650	5	951	1637	2752	5.11112	1	popular	323.2061
												IH	1		BIG		646.5	2199.7	2937.1	90.2	99.5	208.9	326.199	326.179	326.239	0.06	1	1	6	2	1	0										651.3	2158.6	645.4	2205.3	636.4	2263.4	630.4	2343.3	624.1	2413	4	627	2266	2872	1.1621	1	big	326.2147
												EY	1		BASEBALL		626.1	2525.6	3090.3	113.1	126.4	285.4	327.046	327.034	327.144	0.11	21	3	4	1	1	4										612.8	2596.7	569.2	2663.2	524.2	2666.6	520.9	2561.4	548.1	2400.2	4	619	2513	3017	21.34212	1	baseball	327.0466
												AO	0		BASEBALL		718.3	1244	2444	99.6	213	1403.8	327.304	327.284	327.344	0.06	53	5	4	2	1	0										780.2	1417.4	721.9	1232.7	768.3	1223.7	803.8	1239.9	813.7	1244.6	6	849	1274	2846	53.5421	1	(base)ball	327.3799
												EY	1		BASEBALL		562.6	2168.8	2936.3	77.5	171.1	312.9	329.164	329.152	329.233	0.081	21	3	4	1	1	4										556.1	2215.7	550.8	2346.1	548.5	2404.7	543.7	2415.6	529.6	2343.1	4	549	2270	2863	21.34212	1	baseball	329.1748
												AY	1		HIGHSCHOOL		935.1	1933.7	2883.8	246.4	291.4	1195.7	331.305	331.293	331.393	0.1	47	3	4	1	0	4										915.9	1958.5	850.4	2061.3	779.8	2194.1	674	2237.2	602.9	2153.6	4	859	2018	2816	47.34201	1	highschool	331.3244
												AW	1		AROUND		866.2	1608	2217.9	80.2	226.6	322.5	336.382	336.37	336.42	0.05	42	4	4	2	7	0										866.2	1608	876.9	1615.1	890.3	1624	895.7	1639.3	892.6	1664.7	5	900	1629	2371	42.44273	1	(a)round	336.397
												IH	1		HERE		798.6	2378.6	2845.4	194.4	343	282.8	336.56	336.54	336.6	0.06	14	6	4	2	0	0										787.9	2222.7	798.2	2374.2	783.1	2322.4	793	2265.4	803.7	2229.1	5	739	2294	2768	14.6	1	here	336.5665
												EH	1		EXCEPT		724.7	1746.8	2596.3	130.9	176.7	922	337.576	337.553	337.623	0.07	2	1	1	1	3	3										695.2	1784.3	726.6	1743.5	729.1	1693.6	691.8	1609.9	583.3	1547.6	5	743	1751	2646	2.11133	1	(ex)cept	337.5808
												AA	1		FOLLOW		860.6	1405.6	2838.3	74	151.7	169.7	338.577	338.547	338.637	0.09	5	5	4	2	1	1										821.4	1363.1	863	1409.8	879.5	1462.4	883.1	1467.7	878.4	1446.6	5	888	1494	2956	5.54211	1	follow	338.5964
												AA	1		COLLEGE		1011.4	1620.3	2543	94.7	163.3	1933.1	342.31	342.283	342.363	0.08	5	5	4	2	6	1										997.6	1568	1011.5	1622.1	1001.6	1637.9	974.1	1626.5	940.1	1592.8	5	1014	1644	2930	5.54201	1	college	342.3201
												AA	1		MOM		946.5	1528.9	1811.8	239.9	241.8	315.4	358.531	358.491	358.611	0.12	5	4	1	2	2	0										924.9	1519.6	949.4	1533.3	954.6	1550.1	942.9	1546.2	950.4	1515.5	6	1129	1669	3215	5.4122	1	mom	358.5494
												UW	1		TOO		543.4	2020.4	2803.2	115.4	185.3	212.6	359.617	359.61	359.751	0.141	73	0	0	0	3	0										574.7	1973.1	581	1863.5	588.1	1779.2	587.3	1705.5	586.3	1743.7	5	593	2019	2777	73.0003	1	too	359.642
												UW	1		KNEW		629	2076.3	2818.9	77.3	131.6	116	360.176	360.169	360.279	0.11	73	0	0	0	4	0										632.6	2003.2	640.5	1856.8	645.9	1645.5	643.4	1412.4	639.7	1265.5	5	628	2007	2796	82.0004	1	knew	360.1919
												EH	1		ANY		891.1	1961.3	2736	78.5	89.3	2804.9	363.957	363.937	363.996	0.059	2	4	4	2	0	1										889.3	1953.3	890.5	1961.7	882.5	1958.5	868.9	1943.7	850.5	1934.2	5	894	1967	3186	2.44201	1	any	363.9597
												AY	1		I		944.9	1946.8	3059.7	91	188.8	317.6	366.255	366.214	366.334	0.12	41	0	0	0	0	0										929.3	1853.1	944.9	1953.6	927.7	2088.8	868.2	2189.5	810	2314.8	4	933	1872	2952	41.0006	1	I	366.2517
												AE	1		HAD		835.5	2079.3	2992.1	70.7	153.3	358.1	366.441	366.414	366.494	0.08	3	1	4	2	0	0										852.7	2086.9	833.1	2079.2	798.7	2088	753.7	2114	680.8	2110	4	856	2068	2892	3.142	1	had	366.4283
												IY	1		DEAL		503.3	2421.6	3074.5	123	225.5	208.8	366.96	366.934	367.013	0.079	11	5	4	2	3	0										465.9	2477.7	512.8	2408.7	561.1	2331.9	589.5	2230.8	603.1	2096.3	4	515	2411	3068	11.5423	1	deal	366.9625
												IY	1		SEEN		510.6	2627.9	3104.6	120.4	172	335.4	368.463	368.416	368.556	0.14	11	4	4	2	3	0										678.3	2418.2	511.5	2650.7	521.8	2791.2	537.2	2921.6	568.9	2867.8	4	515	2798	3216	11.4423	1	seen	368.4768
												AH	1		OTHER		815.2	1484.1	2797	100.9	259	98.3	368.922	368.885	368.996	0.111	6	3	3	2	0	1										779.8	1577.6	818.9	1485.9	845.6	1483.4	833.3	1482.1	771.7	1514.8	4	837	1430	2816	6.33101	1	other	368.9469
												IY	1		ME		587.6	2710.9	3414.1	90.5	145.8	345.1	369.929	369.886	370.016	0.13	12	0	0	0	2	0										582.1	2678	587.7	2709.9	575.9	2720.2	552.3	2695.3	535.5	2432.8	4	588	2719	3459	12.0002	1	me	369.9341
												ER	1		PERSONALLY		647.8	1713.3	1970.7	89.3	227.8	240.1	370.099	370.065	370.166	0.101	94	3	4	1	1	2										650.9	1664.8	647.9	1718.6	657.4	1825	644.2	1866.9	610.9	1804.9	6	658	1919	2306	94.60012	1	personally	370.1278
												OW	1		OVER		635	1012.4	2677.1	111.7	106	207.1	378.224	378.213	378.273	0.06	62	3	2	2	0	1										635	1012.4	638.1	989.5	629.5	947.4	620	907.9	627	897.3	5	638	987	2632	62.32201	1	over	378.2289
												OW	1		OVER		657.5	1164.3	2169.1	157.6	294.6	62.6	380.256	380.231	380.331	0.1	62	3	2	2	0	1										660.2	1278.8	651.1	1051.7	648.6	1088.9	642.1	1091.9	609.6	1070.7	6	671	1118	2191	62.32201	1	over	380.2916
												EH	1		SAID		767.1	1897.3	2917.1	83.1	266.7	192.4	380.837	380.81	380.891	0.081	2	1	4	2	3	0										702.5	1854.3	772.3	1900.4	809	1935.8	788.8	1960.2	710.6	1962.2	4	803	1905	2931	2.1423	1	said	380.8557
												EH	1		FRIEND		903.3	1857.4	2562.6	122.6	138.4	496.1	381.348	381.281	381.481	0.2	2	4	4	2	8	3										885.6	1848.2	903.7	1858.2	890.1	1871.8	883.7	1869.6	844.7	1929.1	5	912	1893	2868	2.44283	1	friend	381.3771
												AO	1		CALLED		826.1	1204.8	2729.8	108.6	164.9	365.2	383.584	383.544	383.664	0.12	53	5	4	2	6	3										823.6	1235.8	825.5	1200.3	814.6	1169.7	800.9	1176.2	765.6	1223.2	5	868	1186	2897	53.542	1	called	383.5993
												AH	1		MOTHER		861.8	1278.5	2950.9	67.5	107	267.4	383.947	383.914	384.014	0.1	6	3	3	2	2	1										857.3	1244.5	861	1286.4	840.6	1360.9	776.3	1437.9	758.2	1530.4	5	889	1267	3089	6.33121	1	mother	383.9355
												OY	1		BOYFRIEND		591.5	1035.6	2552.8	61.5	117.1	227.6	384.991	384.934	385.104	0.17	61	3	2	1	1	1										596.2	975.2	592	1049.4	602.2	1352.1	560.1	1909	553.8	2299.1	5	587	954	2504	61.32114	1	boyfriend	384.9682
												EH	1		NEVER		846	1876.9	2936.3	89.1	146.3	280.3	388.909	388.885	388.956	0.071	2	3	2	2	4	1										828.1	1897.8	846.8	1875.6	843.3	1861.9	826.9	1833.6	804	1804.8	4	836	1820	2807	2.32241	1	never	388.9169
												IY	1		EVEN		736.4	2742.7	3301.7	116.1	112.3	2760.3	398.872	398.839	398.939	0.1	11	3	2	2	0	1										766.2	2625.8	730	2745.4	684.9	2720.2	667.9	2663.1	657.4	2409.3	4	725	2737	3696	11.32201	1	even	398.8813
												AH	1		UPROARS		874.4	1384.6	2763.3	179.9	117.4	136	400.944	400.907	401.018	0.111	6	1	1	1	0	1										860.9	1601.6	879.8	1389.4	910.8	1404	899.6	1389.7	843.8	1337.4	5	954	1455	2827	6.11104	1	uproars	400.9725
												AO	2		UPROARS		632.4	1012.6	2077.6	227.7	194.5	409.6	401.145	401.128	401.178	0.05	64	6	4	2	8	3										655.2	979.8	632.4	1012.6	624.6	1053.2	624.7	1098.5	620.3	1138.6	5	613	1084	1951	64.6007	1	(up)roars	401.1605
												AY	1		MIGHT		837.8	1715.6	2708	83.9	183.4	243	401.746	401.738	401.837	0.099	47	1	4	1	2	0										828.1	1950	775.7	2121.6	686.1	2219.3	642.1	2231	644.5	2216.2	5	834	1922	2788	47.1412	1	might	401.756
												AH	1		BLOOD		876.1	1478.3	2894.4	64.4	135.6	148.3	402.138	402.108	402.198	0.09	6	1	4	2	8	0										852.3	1399.8	876.8	1484.8	863.4	1571.5	802.2	1641.7	709.8	1671.4	5	880	1486	2888	6.1428	1	blood	402.1377
												AH	1		UP		933.8	1665	2713.7	122.7	78.5	1175	403.728	403.708	403.768	0.06	6	1	1	1	0	0										918.5	1688.2	934.3	1660.9	930.7	1621.2	919.8	1580.3	907.9	1548.7	5	907	1548	2674	6.111	1	up	403.7517
												IH	1		PRETTY		580.6	2114.8	2661.8	75.5	167.5	263	404.238	404.221	404.271	0.05	1	1	4	1	8	1										586.5	2104.5	580.6	2114.8	570	2138.8	563.5	2161.3	559.4	2190.4	5	581	2168	2835	1.14181	1	pretty	404.2432
												OW	1		KNOW		834.5	1465.8	1899.4	54.1	158	978.8	406.529	406.504	406.885	0.381	63	0	0	0	4	0										802.2	1206.9	781.9	1137.3	686.4	994.1	616.6	923.4	619.3	955.7	6	882	1324	3058	62.0004	1	know	406.5551
												EH	1		THREATEN		914.7	1803.6	2488	130	217.2	651.7	407.258	407.235	407.305	0.07	2	1	4	1	8	1										868.6	1811.7	919.1	1804	949.8	1823.1	950.1	1866.2	922.9	1908.9	4	945	1840	2769	2.14181	1	threaten	407.2802
												UW	1		DO		451.1	2100.9	2622.3	134.9	309.6	377	407.601	407.594	407.705	0.111	73	0	0	0	3	0										455.3	2199.9	458.5	2048.6	467.5	1971.1	461.3	1982.2	460.4	1993.1	5	448	1822	2547	73.0003	1	do	407.6306
												IH	1		THIS		754	2046.9	2887.1	88.2	116.2	171.2	407.812	407.755	407.925	0.17	1	3	4	1	3	0										690.2	2031.8	755.3	2046.7	764.4	2040.4	767.2	2035.3	760.6	1985.2	4	759	2003	2907	1.3413	1	this	407.8471
												EH	1		THREATEN		839.6	1754.2	2371.4	67.9	200.4	366.9	408.322	408.275	408.415	0.14	2	1	4	1	8	1										791.2	1737.7	845.8	1757.3	879.1	1824.2	882.7	1904.7	886.4	1966.9	5	897	1887	2813	2.14181	1	threaten	408.3429
												AH	1		GUN		876.9	1429.8	1895.8	82	111.2	1543.1	409.288	409.225	409.415	0.19	6	4	4	2	6	0										877.2	1460.9	875.9	1426.7	865.5	1395.9	881.7	1390.5	879.7	1415.5	6	883	1402	2222	6.4426	1	gun	409.3215
												AY	1		MIND		839.4	1809.9	2794.4	82.3	234.5	397.5	411.055	411.052	411.122	0.07	41	4	4	2	2	3										828.4	1961	818.4	2069.5	807.5	2187.6	792.1	2267.3	760.5	2311.7	5	819	2058	2842	41.44223	1	mind	411.0751
												AA	1		ON		856.5	1149.4	2213.2	183.6	171.7	455.6	413.059	413.019	413.139	0.12	5	4	4	2	0	0										855.9	1084.9	850.1	1159.7	814.5	1246.1	824.7	1359.3	816.6	1417.5	6	837	1348	2442	5.442	1	on	413.0922
												AY	1		LIFE		783.6	1565.7	3073.7	97.8	150.3	175.7	413.386	413.369	413.469	0.1	47	3	2	1	7	0										782.6	1600.8	759.5	1793.8	717.6	1955.4	665.6	2063.7	636.3	2154	5	778	1524	3061	47.3217	1	life	413.3856
												AO	1		MORE		814.3	1088.4	2328	168.6	311.7	175.5	426.189	426.159	426.248	0.089	64	6	4	2	2	0										805.8	996	813.8	1095.8	812.8	1173.1	810.1	1245.9	809.2	1266.8	6	792	1170	2293	64.6002	1	more	426.2061
												IH	1		CITY		649.6	2075.9	3003	167.1	125.8	149.5	427.429	427.412	427.462	0.05	1	1	4	1	3	1										641.4	2069.8	649.6	2075.9	643.9	2078	618.6	2071.1	576.5	2058.9	4	648	2063	2991	1.14131	1	city	427.4298
												IY	1		PEOPLE		451.8	2730.6	3300.5	188.3	222.2	474.6	431.108	431.078	431.168	0.09	11	1	1	1	1	1										493.2	2711.6	456.8	2717.8	476	2643.9	503.1	2606.2	864.1	2775.2	4	468	2678	3081	11.11111	1	people	431.115
												AY	1		I'D		939.7	1803.2	2509.4	50.1	1016.5	1275.2	431.798	431.798	431.927	0.129	41	1	4	2	0	0										860.1	1451.9	862.3	1496	791.4	1643.2	715.7	1814.4	667.7	2055.4	6	884	1785	2934	41.142	1	I'd	431.8386
