vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
EH	1	AIRPORT	655.6	2116.6	2467.6	69.3	140.7	188.4	226.616	226.586	226.675	0.089	24	6	4	2	0	4			644.3	2231.0	657.0	2108.5	668.4	1989.5	666.2	1882.5	654.2	1761.8	5		637	2492	2897	24.60001	1	airport	226.5694
AO	2	AIRPORT	654.7	1039.6	2295.3	132.0	125.3	131.9	226.812	226.785	226.866	0.081	64	6	4	2	1	3			671.7	1020.3	653.2	1042.0	655.9	1090.5	670.6	1171.2	688.2	1255.7	5		636	1047	2252	64.6001	1	(air)port	226.8201
AY	1	TYPE	749.9	1940.2	3087.2	250.6	410.2	414.6	227.778	227.777	227.857	0.08	47	1	1	1	3	0		s	724.5	1924.8	695.3	2012.4	649.6	2073.0	603.4	2134.1	582.3	2157.5	4		694	1951	2944	47.1113	1	type	227.8016
AH	1	NOTHING	892.7	1651.5	1944.4	155.6	163.0	674.5	228.449	228.426	228.496	0.07	6	3	3	1	4	1			886.3	1680.7	894.0	1645.2	903.0	1616.9	896.5	1596.7	866.3	1570.0	6		1007	1697	3218	6.3314	1	nothing	228.454
OW	1	NO	910.0	1834.0	1996.9	125.8	252.0	689.3	228.854	228.837	228.906	0.069	63	0	0	0	4	0			902.4	1857.3	921.0	1775.1	933.0	1691.7	938.7	1649.8	937.3	1606.8	6		991	1689	2860	62.0004	1	no	228.8828
AE	1	THAT	857.9	1886.2	3071.6	85.1	117.0	205.0	231.557	231.507	231.657	0.15	3	1	4	1	3	0			818.6	1861.7	862.3	1885.8	874.2	1877.1	872.0	1863.4	862.8	1808.2	4		850	1882	3088	3.1413	1	that	231.5523
AE	1	FAMILY	682.9	2364.0	2877.4	86.5	210.2	693.6	236.554	236.521	236.62	0.099	39	4	1	2	1	1			627.8	2278.9	687.6	2369.7	719.5	2388.6	774.5	2348.2	808.1	2188.9	5		766	2414	3085	3.41212	1	family	236.5794
AH	1	MONTH	871.8	1360.8	1713.3	129.7	149.7	1371.6	239.371	239.351	239.411	0.06	6	4	4	2	2	3			862.5	1330.5	873.2	1365.0	882.2	1404.0	869.6	1422.5	827.7	1426.1	6		911	1414	3323	6.44223	1	month	239.3771
AE	2	ADIRONDACKS	828.9	2212.1	2744.1	79.4	165.2	1116.2	250.226	250.209	250.26	0.051	3	1	4	2	0	2			821.1	2252.7	830.9	2202.2	841.7	2137.5	841.8	2065.8	839.0	2005.1	6		809	2299	3081	3.14202	1	Adirondacks	250.219
AA	1	ADIRONDACKS	877.2	1793.2	2534.4	59.6	165.8	205.1	250.389	250.359	250.449	0.09	5	4	4	2	7	4			873.1	1779.1	877.3	1794.7	877.0	1834.0	872.8	1889.5	857.8	1932.5	5		899	1892	2654	5.44274	1	(Adi)rondacks	250.3927
AH	1	STUFF	759.8	1680.0	3158.7	97.4	196.5	168.6	250.899	250.879	250.94	0.061	6	3	2	1	3	0			739.2	1690.6	761.5	1679.1	771.5	1653.6	735.0	1643.5	702.3	1667.0	4		747	1657	3127	6.3213	1	stuff	250.897
AE	1	THAT	814.9	2033.6	3148.5	97.1	200.5	166.4	251.223	251.18	251.309	0.129	3	1	4	1	3	0			788.2	2027.4	817.3	2033.7	835.7	2019.6	841.2	2008.7	845.6	2042.5	4		807	2016	3145	3.1413	1	that	251.2232
AH	1	UP	889.9	1568.0	3099.0	177.8	159.8	316.5	251.911	251.888	251.958	0.07	6	1	1	1	0	0			976.8	1567.9	875.9	1576.2	852.2	1592.9	822.5	1551.4	813.1	1509.1	5		837	1599	3068	6.111	1	up	251.9184
AO	1	NORTH	776.9	1367.6	2014.5	122.8	171.1	2373.9	252.108	252.088	252.148	0.06	64	6	4	2	4	3			758.6	1414.2	778.8	1363.1	788.3	1325.0	791.6	1303.5	790.8	1302.6	6		806	1314	2314	54.6004	1	north	252.1321
AE	2	ADIRONDACKY	822.9	2225.3	3055.2	87.9	119.4	216.2	256.156	256.126	256.216	0.09	3	1	4	2	0	2			817.3	2289.1	823.4	2214.4	825.4	2129.8	820.4	2049.0	798.5	1998.7	4		806	2273	2987	3.14202	1	Adirondacky	256.1392
AA	1	ADIRONDACKY	896.1	1760.5	2082.9	113.9	152.5	1807.9	256.34	256.307	256.406	0.099	5	4	4	2	7	5			888.0	1763.9	895.5	1761.5	881.4	1778.3	853.5	1812.8	816.2	1833.4	6		969	1813	2835	5.44275	1	(Adi)rondacky	256.3472
AY	1	TYPE	709.6	1958.0	2895.8	238.3	211.1	557.7	256.805	256.796	256.916	0.12	47	1	1	1	3	0		s	689.5	1912.1	677.3	2003.4	646.8	2116.0	620.6	2206.6	598.1	2168.3	5		685	2014	2991	47.1113	1	type	256.84
ER	1	PERSON	605.9	1755.3	2080.1	110.9	209.6	183.4	257.036	257.006	257.097	0.091	94	3	4	1	1	1			601.2	1725.4	606.7	1762.5	612.8	1827.1	615.7	1895.9	606.3	1907.9	5		628	1873	2122	94.60011	1	person	257.0438
OW	1	GOES	612.5	1282.5	2587.7	90.4	224.3	164.7	261.663	261.641	261.731	0.09	62	3	4	2	6	0			605.4	1285.3	624.7	1297.1	640.3	1337.4	648.1	1379.9	638.4	1470.9	5		647	1336	2752	62.0026	1	goes	261.672
EH	1	FRIENDS	850.7	1833.9	2441.2	59.7	159.0	320.8	262.461	262.441	262.501	0.06	2	4	4	2	8	3			845.1	1803.6	850.9	1837.7	849.0	1862.9	842.8	1876.7	834.0	1881.5	5		853	1913	2879	2.44283	1	friends	262.4811
OW	1	SNOWBOARD	727.2	1605.9	2141.9	108.5	218.7	1674.3	263.205	263.192	263.342	0.15	62	1	1	2	4	1			740.6	1417.7	710.3	1210.2	658.5	1096.6	631.1	1052.6	602.9	966.3	6		791	1337	2831	62.11201	1	snowboard	263.2346
AO	2	SNOWBOARD	606.2	912.2	2406.3	117.4	122.1	265.9	263.452	263.402	263.551	0.149	64	6	4	2	1	3			569.5	839.9	608.3	922.1	607.0	998.8	607.6	1034.4	612.7	1127.7	6		617	897	2455	64.6001	1	(snow)board	263.4483
AH	1	STUFF	698.7	1597.2	2941.3	127.2	290.2	257.5	263.965	263.942	264.012	0.07	6	3	2	1	3	0			692.6	1507.5	700.0	1606.2	722.6	1654.4	755.4	1649.0	778.9	1616.6	5		765	1657	3041	6.3213	1	stuff	263.9896
AE	1	THAT	821.0	1858.6	3008.6	68.9	125.1	176.2	264.295	264.262	264.362	0.1	3	1	4	1	3	0			790.5	1880.1	823.9	1855.5	840.3	1843.2	849.4	1832.0	854.0	1828.1	4		845	1826	3000	3.1413	1	that	264.3229
AH	1	PUBLIC	861.4	1399.2	2918.5	96.3	154.6	316.3	272.636	272.616	272.676	0.06	6	1	1	2	1	1			893.9	1454.1	857.0	1394.9	816.7	1364.6	770.3	1302.9	742.3	1295.0	5		841	1403	2936	6.11214	1	public	272.642
UW	1	POOL	487.1	878.9	2217.8	74.7	440.8	679.4	273.88	273.827	273.986	0.159	72	5	4	2	1	0			487.3	921.9	487.8	878.4	487.6	901.9	505.2	888.0	564.5	887.3	6		502	913	2486	72.5421	1	pool	273.8828
AA	1	PARKS	888.8	1418.1	2481.3	63.5	117.8	137.4	275.247	275.223	275.294	0.071	44	6	4	2	1	3			893.3	1400.2	888.7	1420.2	884.4	1446.3	877.3	1474.0	868.1	1492.5	5		883	1449	2429	44.60013	1	parks	275.2603
AE	1	BASKETBALL	649.9	2374.5	2892.3	94.7	146.0	216.7	277.052	277.015	277.125	0.11	39	3	4	1	1	5			629.9	2326.1	651.4	2374.4	704.3	2334.6	766.6	2244.9	778.6	2096.4	5		660	2367	2916	3.34212	1	basketball	277.0594
AO	2	BASKETBALL	858.5	1233.3	2193.2	125.0	205.2	2315.4	277.429	277.365	277.556	0.191	53	5	4	2	1	0			821.9	1233.7	859.8	1228.2	859.7	1203.5	832.4	1191.2	806.8	1191.9	6		910	1269	3076	53.5421	1	(basket)ball	277.4554
EY	1	GAMES	759.8	2690.4	3208.2	203.0	282.3	502.7	278.05	277.965	278.306	0.341	21	4	1	2	6	3			708.7	2650.9	707.6	2764.7	680.4	2831.1	626.4	2648.6	612.1	2821.1	4		717	2655	3105	21.4126	1	games	278.0381
AW	1	OUTSIDE	996.3	1679.0	2181.9	90.2	104.2	1966.5	279.717	279.709	279.829	0.12	42	1	4	1	0	4			991.1	1632.3	929.7	1528.4	869.4	1494.9	831.7	1474.4	740.7	1459.7	6		1058	1707	2880	42.14104	1	outside	279.7318
AY	1	OUTSIDE	820.8	1977.9	3033.6	102.7	229.4	133.7	279.971	279.939	280.038	0.099	41	1	4	2	3	0		s	794.9	1865.5	818.3	2011.4	772.9	2086.3	671.8	2113.7	594.8	2064.4	4		813	2010	3020	41.1423	1	(out)side	279.9768
IY	1	PEOPLE	527.7	2644.7	4190.0	117.1	177.9	1339.5	280.548	280.528	280.588	0.06	11	1	1	1	1	1			520.4	2680.4	528.0	2638.6	507.1	2575.2					3		514	2632	3058	11.11111	1	people	280.538
OW	1	DON'T	743.7	1235.7	2689.6	89.8	205.8	194.3	280.951	280.909	281.169	0.26	62	4	4	2	3	0			779.6	1206.6	817.3	1145.0	810.6	1169.8	847.3	1172.5	831.1	1232.5	5		830	1187	2766	62.44233	1	don't	280.9853
AA	1	NOT	857.9	1649.0	1872.5	81.5	289.2	561.4	282.328	282.292	282.401	0.109	5	1	4	1	4	0			837.9	1575.2	861.1	1638.2	900.6	1610.2	918.5	1609.1	878.3	1623.2	6		1009	1703	3224	5.1414	1	not	282.3571
EH	1	VERY	621.7	1938.2	2423.2	58.8	184.1	242.6	282.524	282.481	282.611	0.13	2	6	4	2	1	1			619.5	1951.8	622.1	1936.6	620.6	1918.0	617.0	1900.8	618.9	1869.9	5		631	2017	2582	2.60011	1	very	282.5096
AA	1	ECONOMY	998.1	1802.1	3115.8	220.7	178.2	499.1	284.186	284.133	284.293	0.16	5	4	4	2	6	2			950.0	1819.2	999.0	1799.1	1006.9	1780.6	881.3	1711.4	775.4	1713.1	4		961	1745	2920	5.44202	1	(e)conomy	284.2033
AY	1	HIGH	983.2	1854.7	2773.7	167.3	157.7	265.5	285.493	285.486	285.607	0.121	41	0	0	0	0	0			934.6	1983.8	864.8	2138.8	805.1	2265.5	777.7	2375.8	716.7	2486.6	5		970	1899	2783	41.	1	high	285.501
AA	1	ECONOMY	950.6	1864.6	2886.7	144.4	159.3	237.5	285.74	285.707	285.807	0.1	5	4	4	2	6	2			917.5	1924.9	955.0	1857.8	974.5	1824.1	972.3	1809.0	944.7	1776.1	5		987	1824	3006	5.44202	1	(e)conomy	285.7631
IY	1	FREE	466.8	2530.9	2919.8	231.6	121.2	554.9	286.606	286.566	286.686	0.12	12	0	0	0	8	0							824.4	2961.0	1102.9	3081.4	2046.8	3382.3	4		462	2427	2635	12.0008	1	free	286.5922
AW	1	OUTDOOR	955.5	1800.2	3164.1	187.1	189.8	369.8	287.111	287.096	287.217	0.121	42	1	4	1	0	4			999.8	1774.2	986.1	1690.4	892.5	1538.0	808.0	1418.2	717.5	1374.8	4		976	1699	2922	42.14104	1	outdoor	287.1264
AO	2	OUTDOOR	609.4	1279.5	2380.0	72.9	215.4	159.0	287.319	287.296	287.366	0.07	64	6	4	2	3	0			605.8	1403.3	609.6	1269.8	612.5	1210.0	616.2	1224.8	627.4	1313.1	5		667	1295	2453	64.6003	1	(out)door	287.3457
EY	1	PLAY	795.2	1745.1	3075.3	103.0	255.0	469.8	288.336	288.317	288.617	0.3	22	0	0	0	8	0			758.5	2029.1	697.4	2190.6	623.8	2362.5	591.1	2485.0	596.5	2410.2	5		796	1990	3108	22.0008	1	play	288.3596
EH	1	FRIENDS	882.9	1830.6	2428.2	129.9	258.1	334.2	289.429	289.412	289.462	0.05	2	4	4	2	8	3			872.3	1802.6	882.9	1830.6	893.4	1868.1	894.3	1899.5	886.0	1918.5	5		885	1913	2676	2.44283	1	friends	289.4469
AY	1	TYPE	788.6	1729.7	3034.2	464.0	567.0	422.2	289.649	289.661	289.721	0.06	47	1	1	1	3	0			660.6	1972.2	626.3	2037.0	612.9	2082.0	613.2	2033.6	626.6	1849.6	5		679	1985	3048	47.1113	1	type	289.6719
AY	1	I	966.8	1712.3	2108.0	84.3	126.6	1239.2	298.437	298.408	298.538	0.13	41	0	0	0	0	0			966.6	1701.3	957.1	1784.3	907.4	1865.1	840.4	2026.7	695.5	1955.7	6		1005	1743	2659	41.0006	1	I	298.4383
ER	1	PERSONALLY	616.0	1512.3	1837.7	145.1	228.8	421.9	298.618	298.588	298.678	0.09	94	3	4	1	1	5			609.7	1467.5	616.7	1517.6	619.3	1634.3	605.9	1736.0	570.7	1827.4	5		634	1771	2031	94.60012	1	personally	298.6406
OW	1	SO	661.6	1509.9	1875.6	78.2	223.2	1371.8	299.176	299.157	299.267	0.11	63	0	0	0	3	0			671.4	1499.9	703.6	1425.9	677.7	1282.3	629.6	1185.4	578.5	1095.5	6		733	1479	2823	62.0003	1	so	299.1976
IY	1	STREET	519.7	2317.7	2689.5	143.5	207.3	246.8	300.541	300.521	300.581	0.06	11	1	4	1	8	0			518.0	2262.3	520.1	2322.9	526.8	2358.2	531.7	2368.8	537.8	2362.1	5		530	2377	2729	11.1418	1	street	300.5409
AA	1	BARS	829.4	1367.4	1556.1	76.7	126.4	1898.9	300.991	300.941	301.092	0.151	44	6	4	2	1	3			748.2	1249.8	835.5	1381.4	847.9	1414.3	846.1	1436.3	834.2	1516.8	6		865	1422	2664	44.6001	1	bars	301.0053
AW	1	ABOUT	805.6	1516.2	1973.0	78.8	185.9	1387.0	302.433	302.404	302.544	0.14	42	1	4	1	1	0			801.0	1519.9	836.1	1493.7	829.5	1477.6	799.2	1414.5	793.3	1383.9	6		889	1563	2805	42.1411	1	(a)bout	302.4568
OW	1	OLDER	679.2	1010.8	2824.4	198.5	239.7	314.7	303.907	303.9	303.989	0.089	62	5	4	2	0	4			659.7	1037.8	626.5	1043.4	618.2	1050.2	621.3	1087.7	617.3	1045.9	5		619	1051	2785	62.54204	1	older	303.9312
IH	1	KIDS	712.7	2269.6	3023.5	152.7	167.6	305.9	306.34	306.307	306.407	0.1	1	1	4	2	6	3			695.0	2338.1	712.2	2264.9	711.1	2265.1	679.8	2213.0	609.9	2124.1	4		719	2279	3074	1.1426	1	kids	306.3543
OW	1	NO	883.2	1561.4	1967.3	101.5	173.8	818.8	306.587	306.566	306.747	0.181	63	0	0	0	4	0			921.4	1483.9	901.4	1409.0	855.5	1313.8	826.0	1195.4	799.1	1050.6	6		997	1530	2981	62.0004	1	no	306.6064
OY	1	BOYS	564.5	1114.0	2360.2	133.4	84.4	2348.4	309.025	308.995	309.086	0.091	61	3	4	2	1	0			546.8	1035.8	566.2	1133.4	571.7	1326.1	560.8	1472.5	542.3	1289.1	6		573	1044	2679	61.0021	1	boys	309.0095
ER	1	GIRLS	611.4	1658.4	2116.5	54.7	189.7	160.7	309.282	309.265	309.316	0.051	94	5	4	2	6	3			606.4	1668.1	612.5	1655.3	621.6	1631.2	637.1	1600.1	650.8	1577.5	5		619	1631	2147	94.60053	1	girls	309.2887
IH	1	DIFFERENT	655.9	2145.5	2927.7	119.8	234.2	1104.2	312.389	312.372	312.422	0.05	1	3	2	1	3	1			694.1	2190.4	655.9	2145.5	619.1	2076.5	630.9	2037.3	637.3	2017.5	5		638	2006	2822	1.32132	1	different	312.4112
EY	1	SAY	711.0	1882.3	2822.6	86.3	159.7	141.6	313.3	313.261	313.462	0.201	22	0	0	0	3	0			710.9	1886.0	703.8	2011.1	673.2	2124.4	631.0	2257.4	618.4	2388.9	4		710	1877	2801	22.0003	1	say	313.3044
AA	1	PROCTOR	888.9	1619.3	2489.1	82.9	217.6	195.7	320.228	320.211	320.262	0.051	5	1	6	1	8	4			884.2	1608.7	889.5	1622.6	888.2	1654.1	871.6	1719.0	847.2	1782.7	5		889	1605	2505	5.16184	1	Proctor	320.2261
UH	1	FOOTBALL	661.5	1332.8	2645.1	106.1	149.4	107.8	320.521	320.501	320.561	0.06	7	1	4	1	1	4			682.8	1382.0	657.3	1325.9	613.4	1261.7	569.9	1250.8	537.7	1486.1	5		695	1418	2623	7.14114	1	football	320.5081
AO	2	FOOTBALL	872.3	1292.3	2769.8	88.4	190.6	196.5	320.768	320.651	321.001	0.35	53	5	4	2	1	0			856.0	1281.7	873.3	1295.8	864.7	1298.7	863.8	1298.2	836.1	1291.7	5		877	1309	2795	53.5421	1	(foot)ball	320.793
AE	1	BASKETBALL	651.1	2220.9	2946.0	59.9	144.9	215.3	321.215	321.172	321.301	0.129	39	3	4	1	1	5			651.7	2156.0	653.1	2220.0	705.8	2156.2	757.2	2044.7	772.0	1964.1	4		657	2212	2934	3.34212	1	basketball	321.2232
AO	2	BASKETBALL	807.7	1438.7	2706.8	84.9	129.6	151.0	321.571	321.531	321.652	0.121	53	5	4	2	1	0			779.7	1380.3	809.9	1442.9	824.6	1458.5	829.3	1431.3	824.6	1392.4	5		861	1501	2855	53.5421	1	(basket)ball	321.5979
AE	1	BASKETBALL	713.6	2109.9	2951.5	96.8	141.2	233.7	321.798	321.751	321.892	0.141	39	3	4	1	1	5			709.2	2007.3	715.5	2109.3	741.0	2097.7	771.0	2019.7	774.3	1927.3	4		726	2076	2870	3.34212	1	basketball	321.8172
AA	1	POPULAR	936.8	1544.7	2626.1	49.0	280.3	355.1	323.202	323.162	323.282	0.12	5	1	1	1	1	2			931.6	1542.1	936.3	1547.3	923.8	1560.9	888.2	1579.0	778.6	1650.0	5		951	1637	2752	5.11112	1	popular	323.2061
EH	1	SECTIONALS	777.6	1698.3	3032.1	71.8	128.2	209.1	323.885	323.861	323.932	0.071	2	1	6	1	3	5			733.9	1654.2	781.3	1703.4	804.3	1762.5	792.0	1839.3	746.7	1925.9	5		833	1835	3037	2.16135	1	sectionals	323.9013
IH	1	BIG	646.5	2199.7	2937.1	90.2	99.5	208.9	326.199	326.179	326.239	0.06	1	1	6	2	1	0			651.3	2158.6	645.4	2205.3	636.4	2263.4	630.4	2343.3	624.1	2413.0	4		627	2266	2872	1.1621	1	big	326.2147
EY	1	BASEBALL	626.1	2525.6	3090.3	113.1	126.4	285.4	327.046	327.034	327.144	0.11	21	3	4	1	1	4			612.8	2596.7	569.2	2663.2	524.2	2666.6	520.9	2561.4	548.1	2400.2	4		619	2513	3017	21.34212	1	baseball	327.0466
UH	1	FOOTBALL	646.9	1180.7	1851.2	103.0	189.9	1388.3	328.819	328.802	328.852	0.05	7	1	4	1	1	4			652.4	1193.1	646.9	1180.7	621.2	1155.9	589.0	1141.4	536.7	1181.5	6		699	1261	2877	7.14114	1	football	328.8172
EY	1	BASEBALL	562.6	2168.8	2936.3	77.5	171.1	312.9	329.164	329.152	329.232	0.08	21	3	4	1	1	4			556.1	2215.7	550.8	2346.1	548.5	2404.7	544.0	2417.8	531.2	2350.2	4		549	2270	2863	21.34212	1	baseball	329.1748
AY	1	HIGHSCHOOL	935.1	1933.7	2883.8	246.4	291.4	1195.7	331.305	331.293	331.393	0.1	47	3	4	1	0	4			915.9	1958.5	850.4	2061.3	779.8	2194.1	674.0	2237.2	602.9	2153.6	4		859	2018	2816	47.34201	1	highschool	331.3244
IH	1	HERE	798.4	2382.9	2850.8	197.3	350.6	287.5	336.559	336.539	336.599	0.06	14	6	4	2	0	0			787.2	2186.2	798.6	2378.6	784.2	2328.4	791.1	2270.9	803.3	2233.7	5		739	2294	2768	14.6	1	here	336.5665
EH	1	EXCEPT	724.7	1746.8	2596.3	130.9	176.7	921.9	337.576	337.552	337.623	0.071	2	1	1	1	3	3			696.5	1793.0	726.6	1743.5	730.4	1699.5	691.7	1609.7	583.1	1547.0	5		743	1751	2646	2.11133	1	(ex)cept	337.5808
AA	1	FOLLOW	853.4	1395.1	2827.0	80.1	146.5	173.4	338.574	338.547	338.627	0.08	5	5	4	2	1	1			815.9	1359.3	856.4	1399.2	876.9	1448.1	881.8	1471.0	882.9	1459.5	5		888	1494	2956	5.54211	1	follow	338.5964
AA	1	COLLEGE	1011.4	1620.3	2543.0	94.7	163.3	1933.1	342.31	342.283	342.363	0.08	5	5	4	2	6	1			997.6	1568.0	1011.5	1622.1	1001.6	1637.9	974.1	1626.5	940.1	1592.8	5		1014	1644	2930	5.54201	1	college	342.3201
AA	1	MOM	946.5	1528.9	1811.8	239.9	241.8	315.4	358.531	358.491	358.611	0.12	5	4	1	2	2	0			924.9	1519.6	949.4	1533.3	954.6	1550.1	942.9	1546.2	950.4	1515.5	6		1129	1669	3215	5.4122	1	mom	358.5494
UW	1	TOO	542.0	2019.5	2804.9	115.0	185.1	215.8	359.617	359.61	359.75	0.14	73	0	0	0	3	0			574.3	1975.9	580.8	1865.3	588.1	1781.6	587.2	1706.5	586.8	1740.4	5		593	2019	2777	73.0003	1	too	359.642
UW	1	KNEW	641.4	1839.8	2815.9	79.8	221.5	134.6	360.209	360.169	360.289	0.12	82	0	0	0	4	0			633.2	1989.7	642.4	1815.9	645.9	1579.1	641.5	1340.7	641.3	1248.6	5		628	2007	2796	82.0004	1	knew	360.1919
EH	1	ANY	890.9	1961.1	2729.5	78.4	89.6	2782.8	363.956	363.936	363.996	0.06	2	4	4	2	0	1			888.3	1951.7	890.4	1961.6	881.2	1957.2	866.9	1942.2	850.6	1934.2	5		894	1967	3186	2.44201	1	any	363.9597
AY	1	I	944.9	1946.9	3059.8	91.1	188.9	317.8	366.255	366.213	366.333	0.12	41	0	0	0	0	0			927.3	1848.2	944.9	1946.9	929.7	2082.3	872.1	2183.5	811.9	2308.0	4		933	1872	2952	41.0006	1	I	366.2517
AE	1	HAD	837.7	2079.5	2987.8	70.9	153.6	353.2	366.44	366.414	366.493	0.079	3	1	4	2	0	0			852.7	2086.9	833.1	2079.2	802.0	2085.9	758.0	2112.8	688.1	2112.1	4		856	2068	2892	3.142	1	had	366.4283
IY	1	DEAL	503.3	2421.6	3074.5	123.0	225.5	208.8	366.96	366.934	367.013	0.079	11	5	4	2	3	0			465.9	2477.7	512.8	2408.7	561.1	2331.9	589.5	2230.8	603.1	2096.3	4		515	2411	3068	11.5423	1	deal	366.9625
IY	1	SEEN	510.6	2627.9	3104.6	120.4	172.0	335.4	368.463	368.416	368.556	0.14	11	4	4	2	3	0			678.3	2418.2	511.5	2650.7	521.8	2791.2	537.2	2921.6	568.9	2867.8	4		515	2798	3216	11.4423	1	seen	368.4768
AH	1	OTHER	818.9	1485.8	2800.3	99.0	253.4	100.5	368.925	368.885	369.005	0.12	6	3	3	2	0	1			781.7	1553.6	822.6	1488.2	848.2	1478.8	818.1	1490.7	738.3	1536.5	4		837	1430	2816	6.33101	1	other	368.9469
IY	1	ME	587.6	2710.9	3414.1	90.5	145.8	345.1	369.929	369.885	370.016	0.131	12	0	0	0	2	0			581.7	2672.8	587.7	2709.9	575.9	2720.2	552.3	2695.3	535.5	2432.4	4		588	2719	3459	12.0002	1	me	369.9341
ER	1	PERSONALLY	647.8	1708.3	1973.3	91.6	224.3	254.2	370.098	370.065	370.165	0.1	94	3	4	1	1	2			651.0	1664.8	647.9	1718.6	657.4	1825.0	646.0	1866.5	613.2	1825.7	6		658	1919	2306	94.60012	1	personally	370.1278
OW	1	OVER	634.4	1014.2	2675.4	111.8	103.4	202.7	378.224	378.212	378.262	0.05	62	3	2	2	0	1			634.4	1014.2	636.3	1006.5	637.9	980.5	629.5	947.3	622.0	919.8	5		638	987	2632	62.32201	1	over	378.2289
OW	1	OVER	657.5	1164.2	2169.1	157.5	294.8	62.6	380.256	380.23	380.33	0.1	62	3	2	2	0	1			660.5	1301.2	652.1	1050.2	648.5	1087.2	642.9	1092.3	613.7	1072.6	6		671	1118	2191	62.32201	1	over	380.2916
EH	1	SAID	767.1	1897.3	2917.1	83.1	266.7	192.4	380.837	380.81	380.89	0.08	2	1	4	2	3	0			702.5	1854.3	772.3	1900.4	809.0	1935.8	791.9	1959.0	719.0	1963.1	4		803	1905	2931	2.1423	1	said	380.8557
EH	1	FRIEND	903.1	1857.1	2558.7	122.0	138.4	489.7	381.347	381.281	381.48	0.199	2	4	4	2	8	3			885.6	1848.2	903.7	1858.2	890.6	1871.4	884.5	1869.0	846.1	1927.6	5		912	1893	2868	2.44283	1	friend	381.3771
AO	1	CALLED	826.2	1204.8	2729.9	108.7	164.9	365.1	383.584	383.544	383.663	0.119	53	5	4	2	6	3			823.6	1235.8	825.6	1200.3	815.3	1170.1	802.1	1175.5	768.3	1218.6	5		868	1186	2897	53.542	1	called	383.5993
AH	1	MOTHER	862.0	1274.9	2951.1	67.3	103.4	265.8	383.946	383.913	384.013	0.1	6	3	3	2	2	1			856.8	1242.4	861.5	1282.4	842.8	1354.8	782.1	1433.8	737.8	1523.2	5		889	1267	3089	6.33121	1	mother	383.9355
OY	1	BOYFRIEND	591.3	1029.4	2552.9	62.4	125.5	232.1	384.99	384.934	385.103	0.169	61	3	2	1	1	1			596.1	975.3	592.0	1049.8	602.6	1336.5	560.1	1909.5	555.7	2297.1	5		587	954	2504	61.32114	1	boyfriend	384.9682
EH	1	NEVER	844.9	1878.5	2940.0	90.5	146.8	280.8	388.908	388.885	388.955	0.07	2	3	2	2	4	1			828.1	1897.8	846.0	1876.9	843.3	1861.9	828.6	1836.4	806.3	1806.6	4		836	1820	2807	2.32241	1	never	388.9169
IY	1	EVEN	725.1	2745.8	3316.9	122.5	105.2	2624.0	398.876	398.829	398.969	0.14	11	3	2	2	0	1			770.0	2590.9	718.3	2744.5	670.7	2689.0	656.5	2399.6	596.1	1970.8	4		725	2737	3696	11.32201	1	even	398.8813
AH	1	UPROARS	874.4	1384.6	2763.3	179.9	117.4	136.0	400.944	400.907	401.018	0.111	6	1	1	1	0	1			860.9	1601.6	879.8	1389.4	910.8	1404.0	899.6	1389.7	843.8	1337.4	5		954	1455	2827	6.11104	1	uproars	400.9725
AO	2	UPROARS	582.8	998.3	1945.0	77.8	60.0	193.6	401.144	401.127	401.177	0.05	64	6	4	2	8	3			575.0	992.2	582.8	998.3	593.2	1023.1	599.0	1063.7	600.8	1102.7	6		613	1084	1951	64.6007	1	(up)roars	401.1605
AY	1	MIGHT	823.5	1701.1	2334.7	65.8	239.6	1411.9	401.748	401.728	401.837	0.109	47	1	4	1	2	0			823.4	1742.0	799.7	2018.1	709.1	2045.4	641.6	2051.7	644.5	1975.8	6		834	1922	2788	47.1412	1	might	401.756
AH	1	BLOOD	876.1	1478.3	2894.4	64.4	135.6	148.3	402.138	402.108	402.198	0.09	6	1	4	2	8	0			852.3	1399.8	876.8	1484.8	863.4	1571.5	802.2	1641.7	709.8	1671.4	5		880	1486	2888	6.1428	1	blood	402.1377
AH	1	UP	932.9	1668.9	2731.8	124.1	76.6	1176.9	403.727	403.707	403.768	0.061	6	1	1	1	0	0			915.4	1689.7	933.8	1664.9	931.5	1625.5	919.8	1580.3	907.9	1548.7	5		907	1548	2674	6.111	1	up	403.7517
IH	1	PRETTY	580.6	2114.8	2661.8	75.5	167.5	263.0	404.238	404.221	404.271	0.05	1	1	4	1	8	1			586.5	2104.5	580.6	2114.8	570.0	2138.8	563.5	2161.3	559.4	2190.4	5		581	2168	2835	1.14181	1	pretty	404.2432
OW	1	KNOW	834.5	1465.8	1899.2	54.1	158.0	978.3	406.529	406.504	406.874	0.37	63	0	0	0	4	0			803.9	1210.6	784.2	1149.0	697.7	1000.3	621.1	937.9	646.9	1007.1	6		882	1324	3058	62.0004	1	know	406.5551
